Date,Close,Open,High,Volume,Low,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,hist_adj,Signal,Entry/Exit,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Period Returns,Portfolio Cumulative Returns,value
2021-04-16 03:00:00+00:00,63060.67578125,62897.47265625,63242.5390625,645509120,62867.0,76.20657746924553,3.677744584366309,72.52883288487922,-14.900306548400522,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,,,0.0
2021-04-16 04:00:00+00:00,61900.78515625,63024.421875,63024.421875,137613312,61900.78515625,-28.142434412555303,-80.53701383794763,52.394579425392315,-84.21475842231393,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0
2021-04-16 05:00:00+00:00,61948.7109375,61817.359375,62318.27734375,1772748800,61695.5234375,-105.75350750327925,-126.51846954293725,20.764962039658005,-45.98145570498963,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0
2021-04-16 06:00:00+00:00,61562.84375,61943.515625,61943.515625,1777618944,61289.35546875,-196.13616368544172,-173.52090058007977,-22.615263105361937,-47.002431037142514,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0
2021-04-16 07:00:00+00:00,61626.21875,61558.09375,61724.35546875,550719488,61278.59375,-259.6580605382842,-189.6342379463378,-70.02382259194638,-16.113337366258037,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0
2021-04-16 08:00:00+00:00,61406.11328125,61592.12890625,61778.66796875,0,61404.05859375,-324.02513323737367,-203.2010485163418,-120.82408472103185,-13.566810570004009,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0
2021-04-16 09:00:00+00:00,60955.21875,61415.99609375,61427.0234375,1498492928,60688.16015625,-406.73137635504827,-228.72583330721312,-178.00554304783515,-25.52478479087131,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0
2021-04-16 10:00:00+00:00,60519.49609375,60895.38671875,61120.71875,819642368,60490.015625,-501.65310207281436,-258.91804721998335,-242.73505485283098,-30.192213912770228,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0
2021-04-16 11:00:00+00:00,60940.94140625,60428.3125,61003.453125,2797232128,60291.97265625,-536.6855619420385,-235.160405671366,-301.5251562706725,23.757641548617357,1.0,1.0,1.0,1.0,60940.94140625,39059.05859375,100000.0,0.0,0.0,60940.94140625
2021-04-16 12:00:00+00:00,60875.95703125,61036.4140625,61143.7578125,2148663296,60765.61328125,-563.2005098516311,-209.3402828647669,-353.8602269868642,25.8201228065991,1.0,0.0,1.0,0.0,60875.95703125,39059.05859375,99935.015625,-0.0006498437499999898,-0.0006498437499999898,0.0
